"X1385" "X1918" "X1799" "X0440" "X1371" "X1976" "X0339" "X1419" "X1358" "X0843" "X0180" "X1421" "X0791" "X1952" "X1403" "X1958" "X1860" "X1382" "X1942" "X1869" "X0859" "X0915" "X2114" "X0543" "X1436" "X1886" "X0197" "X0692" "X0134" "X1787" "X1915" "X1368" "X0159" "X2092" "X1962" "X1632" "X0343" "X1437" "X0174" "X0849" "X0396" "X0153" "X0144" "X0720" "X1416" "X1443" "X1511" "X0187" "X1937" "X1414" "X0208" "X0761" "X1445" "X1940" "X0196" "X1927" "X1633" "X1963" "X1916" "X1377" "X0805" "X1925" "X1514" "X1392" "X1360" "X0456" "X0122" "X0167" "X1441" "X0471" "X1379" "X1401" "X0243" "X0753" "X0194" "X0792" "X1929" "X2049" "X2121" "X0264" "X1389" "X0211" "X1859" "X0155" "X1973" "X0736" "X1423" "X1939" "X1730" "X0828" "X1619" "X1904" "X0126" "X1376" "X1363" "BD" "X0073" "X1470" "X1381" "X1923" "X1373" "X1370" "X1919" "X1624" "X1815" "X1889" "X1418" "X1914" "X1993" "X0694" "X1528" "X1424" "X0987" "X1345" "X0806" "X1933" "X0660" "X1515" "X1405" "X0125" "X1951" "X0124" "X1906" "X0347" "X1744" "X1922" "X1420" "X1921" "X1433" "X1456" "X1397" "X1971" "X1887" "X1935" "X0686" "X1924" "X1677" "X1432" "X0147" "X1992" "X1413" "X1965" "X0668" "X1417" "X1390" "X1991" "X1926" "X1902" "X1967" "X0989" "X0363" "X1913" "X0219" "X1842" "X1974" "X1943" "X1378" "X2009" "X1941" "X0434" "X0190" "X1398" "X1427" "X1395" "X1762" "X1426" "X1415" "X0280" "X1328" "X0380" "X1425" "X0173" "X1769" "X0433" "X0177" "X1931" "X1972" "X0014" "X0820" "X1430" "X1716" "X1702" "X1806" "X0148" "X1625" "X1938" "X1464" "X1374" "X1920" "X1606" "X1391" "X1805" "X1444" "X1861" "X1375" "X1440" "X1384" "X0175" "X0207" "X0262" "X0170" "X1409" "X1961" "X1636" "X1959" "X1905" "X1955" "X0123" "X0233" "X1411" "X0165" "X0025" "X1970" "X2113" "X0172" "X3916" "X1934" "X0154" "X0882" "X2010" "X1932" "X0617" "X1465" "X0956" "X1429" "X1953" "X1956" "X0176" "X0967" "X0340" "X1917" "X1960" "X1966" "X1393" "X1410" "X0135" "X0150" "X1359" "X1431" "X1994" "X0214" "X1380" "X0146" "X1412" "X1386" "X1930" "X1406" "X1598" "X1394" "X0487" "X2115" "X1936" "X0510" "X1471" "X0072" "X0265" "X2046" "X0191" "X1950" "X1786" "X1888" "X1643" "X1890" "X1346" "X0152" "X1978" "X0149" "X1717" "X1954" "X1912" "X0182" "X1964" "X1442" "X1968" "X0157" "X1428" "X2122" "X0419" "X0893" "X1777" "X1627" "X1798" "X0127" "X0013" "X0851" "X0702" "X1928" "X1396" "X3915" "X0142" "X1388" "X3919" "X1896" "X1808" "X0769" "X1408" "X1332" "X1969"
"1385" 0 0 0 0 0.0027454217364917 0 0 0.0190938708835018 0 0 0 0.0199190119599144 0 0 0.0124616228643291 0 0 0.00566609852671464 0 0 0 0 0 0 0.00686116729935768 0 0 0 0 0 0 0.00292066043132065 0 0 0 0 0 0 0 0 0 0 0 0 0.0201166410832697 0 0 0 0 0.00623584873896585 0 0 0 0 0 0 0 0 0 0.0175019839729815 0 0 0 0.004502070033944 0 0 0 0 0 0 0.0142140913436526 0.0168583257107367 0 0 0 0 0 0 0 0 0.0155110502782343 0 0 0 0 0 0 0 0 0 0 0 0 0.0136000546139761 0 0 0 0 0.0211182439370086 0 0.0177202460077476 0.0110079207187106 0 0 0 0 0 0 0 0 0 0.0164201881581472 0 0 0 0 0 0 0.0105170679996922 0 0 0 0 0 0 0 0.00572609822020659 0 0 0 0.022315905567812 0 0 0 0 0 0 0.0207560922669605 0 0 0.0149387052841025 0 0 0.0041782924765989 0 0 0 0 0 0 0 0 0 0 0 0 0.0230667612884492 0 0 0 0 0.00013923442712877 0.000515417642518823 0.0230345868048864 0 0.0225979764760742 0.00941750770506403 0 0 0 0 0 0 0 0 0 0 0 0 0.0233576307342969 0 0 0 0 0 0 0 0.0222767310927423 0 0 0.0235651549492335 0 0 0 0.0197727184141062 0 0.018328397296197 0 0 0 0 0.0198228638321528 0 0 0 0 0 0 0 0.00866736370234561 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0221286905449516 0 0 0 0 0 0 0 0 0.0236694884224596 0.0157052677592371 0 0 0 0.0225119673933795 0 0 0.0169520124944191 0 0.0182101337055813 0.0189643004033844 0 0.0034719632125576 0 0.0264486869857333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0269960127288942 0 0 0 0 0 0 0 0 0 0 0 0.0351699440060888 0 0 0.0121604398790033 0 0 0 0 0.0220402248982569 0 0
"1918" 0 0 -0.00447459621285069 0 0 0.00678101737216897 0 0 0 0 0 0 0 0.0093160784615883 0 0.00763951804885507 0 0 0.0200645948435812 0 0 0 0 0 0 -0.010402208001882 0 0 0 -0.0016616480847428 0 0 0 0 0.0209117997251729 -0.00132246929710723 0 0 0 0 0 0 0 0 0 0 0.00689794849542322 0 0.0155040418161256 0 0 0 0 0.0108836996190893 0 0.0109379757216665 -0.00196870269998741 0.012533413483977 0 0 0 0.00439631701999083 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198486628134477 0 0 0 0 0 -0.010532452319649 0 0.0109207855257215 0 0 0.0124238296875952 0 0 0 0.0231574508085755 0 0 0 0 0 0 0 0.0051411047443391 0 0 0.00255924529159398 0 0 0 0 0 0 0 0 0 0 0 0 0.0115231417129248 0 0 0 0 0.011933962644801 0 0.012013841510902 0 0 0.0154728447222453 0 0.0119770265486814 0 0 0 0.0168852726991421 0 0 0 0.0109947940016462 0 0 0 0 0 0.0165910235332282 0 0 0 0 0.00988881855688878 0 0 0 0 0 0 0 0.0125836496027558 0.0166983126252283 0 0 0.00623736612536431 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0241502565624391 0 0 0 0 0 0 0 0 0.0125919933278971 0 0 0.0112608698390177 0 0 -0.00316222886058439 0 0 0 0 0 0 0 0 0 0 0.0154772351274876 0 0.00430589640445357 0.0294385753743818 0.0107016281234377 0 0 0 0 0 0.00727938324476492 0 0 0 0.00276657043437691 0 0 0 0.0154578392116247 0 0 0 0 0.0163158000392304 0.00238060876444323 0 0 0 0 0.00725586712848245 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00664158141631929 0 0 0 0 0 0.0135869701228858 0 0 0 0 0 0 0.0161839964536275 -0.00482745897663353 -0.00402623203142481 -0.00250228483265468 -0.00382027488003051 0 0 0 0 0 0.0215809242536961 0 0 0.0203538408384428 0 0 0 0 0 0 0 -0.0014690725549986 0 -1.29290326516581e-05 0 0 0 0 0.00236823382378196 0 0 0 0 0 0 0 0 0 0 0.00925021993823365
"1799" 0 -0.00425592256987418 0 0 0 -0.00547437123810466 0 0 0 0 0 0 0 -0.0122892332149929 0 -0.0117282006577966 0.00101989781679893 0 -0.0169011693117623 0 0 0 0 0 0 0.011966061277001 0 0 0 0.0012934901725235 0 0 0 0 -0.0315861373532199 0.00521937780711448 0 0 0 0 0 0 0 0 0 0 -0.00788325927665872 0 -0.0132464022490233 0 0 0 0 -0.00362699664343387 0 -0.0106016053229199 0.00132470899686892 -0.00594456876407386 0 0 0 -0.0126081903109706 -0.00314240319431604 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.00549322344236115 0 0 0 0 0 0.0114735727730928 0 -0.0108949859853421 0 0 -0.00936960370445933 0 0 0 -0.00487932057428624 0 0 0 0 0 0 0 -0.0097417624821531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.00872824025667472 0 0 0 0 -0.00943408224816595 0 -0.00740238714122158 0 0 -0.00166559921727336 0 -0.00236511074436384 0 0 0 -0.0213267220927129 0.00225570494937825 0 0 -0.0117024773922096 0 0 0 0 0 -0.0120046582186342 0 0 0 0 0 0 0 0 0 0 0 0 -0.0102321844290554 -0.0209743639877674 0 0 -0.00117846607139694 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.000599912848046049 -0.0231100205917529 0 0 0 0 0 0 0 0 -0.006710045678234 0 0 -0.000702940417533557 0 0 0.00480770746533171 0 0 0 0 0 0 0 0 0 0 -0.0454386569899686 0 -0.00866587949320322 -0.0101270378904356 -0.00962583350194647 0 0 0 0 0 -0.00634493144192112 0 0 0 0 0 0 0 -0.0170709398277472 0 0 0 0 -0.012742907789233 -0.000934213732595571 0 0 0 0 -0.0149923065867175 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0240025481320063 0 0 0 0 0 -0.00787541547245865 0 0 0 0 0 0 -0.0095451341139801 0.00486981189113603 0.00626721080118454 0.00243918279028646 0.00476484885183015 0 0 0 0 0 -0.019728785664268 0 0 -0.0323809282684346 0 0 0 0 0 0 0 0.00148345101780225 0 0.00405829714356696 0 0 0 0 -0.00888781514592212 0 0 0 0 0 0 0 0 0 0 -0.00881642096571286
"0440" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1371" 0.00793768853046456 0 0 0 0 0 0 0.0181316976699134 0 0 0 0.0177422313633408 0 0 0.0144590792652244 0 0 0.00495718364320744 0 0 0 0 0 0 0.00751181119670601 0 0 0 0 0 0 0.00422987686892189 0 0 0 0 0 0 0 0 0 0 0 0 0.0264626743180741 0 0 0 0 0.00674073717331142 0 0 0 0 0 0 0 0 0 0.020632214905343 0 0 0 0.00419717178084212 0 0 0 0 0 0 0.0147939472804818 0.0153473930137477 0 0 0 0 0 0 0 0 0.0142791883418713 0 0 0 0 0 0 0 0 0 0 0 0 0.0106732732680717 0 0 0 0 0.0222083205686244 0 0.0141613817808261 0.0125631263907023 0 0 0 0 0 0 0 0 0 0.0137500757720044 0 0 0 0 0 0 0.0102396868084114 0 0 0 0 0 0 0 0.00408894005916221 0 0 0 0.021362461022563 0 0 0 0 0 0 0.0237312293777713 0 0 0.00972238026853504 0 0 0.00213959086289256 0 0 0 0 0 0 0 0 0 0 0 0 0.018749256692503 0 0 0 0 0 0.000937224354151056 0.0201295209716101 0 0.0184820864575661 0.00817334352758401 0 0 0 0 0 0 0 0 0 0 0 0 0.019762523340785 0 0 0 0 0 0 0 0.0205151100062724 0 0 0.0198546119766272 0 0 0 0.0160510242292763 0 0.0148724816090463 0 0 0 0 0.0162203194088626 0 0 0 0 0 0 0 0.00539973786974557 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0177430584089274 0 0 0 0 0 0 0 0 0.0194438882942994 0.0167289613752076 0 0 0 0.0218590565847934 0 0 0.0120100102946023 0 0.0230261176303678 0.0142930604782576 0 0.00426306272931065 0 0.0246206198626655 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0320458768881505 0 0 0 0 0 0 0 0 0 0 0 0.0212593892521773 0 0 0.0135364137181081 0 0 0 0 0.0294238892500477 0 0
"1976" 0 0.00151976463654162 -0.00321753571108189 0 0 0 0 0 0 0 0 0 0 0.00728962996400398 0 0.00919776012215521 0 0 0.0273369530452911 0 0 0 0 0 0 -0.00639793928538554 0 0 0 0 0 0 0 0 0.0380649160761571 -0.00362387490034511 0 0 0 0 0 0 0 0 0 0 0.00389434994829277 0 0.00417380036253344 0 0 0 0 0.00824113020837514 0 0.00753731545884275 -0.00463302730341623 0.0540915503405123 0 0 0 0.00666923041091552 0.00246537169030623 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00335547537535432 0 0 0 0 0 -0.0062552311134311 0 0.00657128787840938 0 0 0.0210946346823746 0 0 0 0.0145852883015422 0 0 0 0 0 0 0 0.0326305913549337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0323240733000974 0 0 0 0 0.0153947468568268 0 0.00578270506003296 0 0 0.00670276022329465 0 0.00757816214958929 0 0 0 0.0356829692774269 -0.00122841414842171 0.00170884125194124 0 0.00508192704145084 0 0 0 0 0 0.0425987029092375 0 0 0 0 0.00736015598048449 0 0 0 0 0 0 0 0.00297852046292692 0.0345306866966579 0 0 0.0114844143545136 0 0 0 0 0 0 0.00998909569878295 0 0 0 0 0 0 0 0 0 0.0090138678037432 0.0421496588717077 0 0 0 0 0 0 0 0 0.0253142335771236 0 0 0.00594366094815146 0 0.00948601515035857 0 0 0 0 0 0 0 0 0 0 0 0.0516798573894192 0 0.0065885593802569 0.0320783122006019 0.022922167478856 0 0 0 0 0 0.0177265558417358 0 0 0 0.00168437620605403 0 0 0 0.0393907429705086 0 0 0 0 0.010454565003904 0.00828941967311174 0 0 0 0 0.0150752434966812 0 0 0 0 0 0 0.000155941763335155 0 0 0 0 0 0 0.0267738895926643 0 0 0.00103085582718855 0 0 0.024067323280331 0 0 0 0 0 0 0.0246686715945374 -0.002884232516003 -0.00446809855957007 0 -0.00425074208466097 0 0 0 0 0 0.0159646916876794 0 0 0.0614856071791634 0 0 0 0 0 0 0 -0.00629391708882473 0 -0.00203235265187191 0 0 0 0 0.00818018526127763 0 0 0 0 0 0 0 0 0.0048374379199211 0 0.018533676523411
"0339" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1419" 0.00909240678022784 0 0 0 0.00537061032614317 0 0 0 0 0 0 0.0235531350325938 0 0 0.0150443073855809 0 0 0.0062056440190416 0 0 0 0 0 0 0.0116330031080255 0 0 0 0 0 0 0.00465958943745941 0 0 0 0 0 0 0 0 0 0 0 0 0.0316582130735384 0 0 0 0 0.00760580002782244 0 0 0 0 0 0 0 0 0 0.0257706093722249 0 0 0 0.00724658342033905 0 0 0 0 0 0 0.0188023083165956 0.030019019626244 0 0 0 0 0 0 0 0 0.0173306166934369 0 0 0 0 0 0.0017636897833503 0 0 0 0 0 0 0.0166017239376472 0 0 0 0 0.0318089010872989 0 0.0349634426304554 0.0153170609992944 0 0 0 0 0 0 0 0 0 0.0151709499245007 0 0 0 0 0 0 0.0130538774423799 0 0 0 0 0 0 0 0.00515863662885956 0 0 0 0.028212737707988 0 0 0 0 0 0 0.0340936499534648 0 0 0.0157019983659985 0 0 0.0068306419229692 0 0 0 0 0 0 0 0 0 0 0 0 0.0282556582372216 0 0 0 0 0.00152310484741143 0.00417159999318028 0.0295917378106664 0 0.0356050511679855 0.0133872380314996 0 0 0 0 0 0 0 0 0 0 0 0 0.0342026556309597 0 0 0 0 0 0 0 0.0275609207512173 0 0 0.0318417146389597 0 0 0 0.0301692700783102 0 0.0223505706137561 0 0 0 0 0.0341142725538859 0 0 0 0 0 0 0 0.00915492602595621 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0326149912337538 0 0 0 0 0 0 0 0 0.0362366797136867 0.0277564408475531 0 0 0 0.0354912327170861 0 0 0.0156235462558981 0 0.0295456067229198 0.01794007865338 0 0.00437558557876746 0 0.0380427200310542 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.046893985564612 0 0 0 0 0 0 0 0 0 0 0 0.0333269076822023 0 0 0.0135872679307559 0 0 0 0 0.0409780240169359 0 0
"1358" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0843" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
