Unnamed: 0	Pheno	UKB ID	IDP short name	Units	Type	Cat.	Category name	IDP description	N(disc)	Npar(disc)	Nnonpar(disc)	N(rep)	Npar(rep)	Nnonpar(rep)	N(fullscan)	Npar(fullscan)	Nnonpar(fullscan)	Heritability	Heritability(SE)
0	1.0	25001	IDP T1 SIENAX peripheral grey normalised volume	mm3	float	1.0	regional and tissue volume	Volume of peripheral cortical grey matter (from T1 brain image, normalised for head size)	22138.0	22117.0	22126.0	11086.0	-	-	33224.0	33197.0	33209.0	0.259	0.0221
1	2.0	25002	IDP T1 SIENAX peripheral grey unnormalised volume	mm3	float	1.0	regional and tissue volume	Volume of peripheral cortical grey matter (from T1 brain image)	22138.0	22117.0	22126.0	11086.0	-	-	33224.0	33197.0	33209.0	0.2567	0.0217
2	3.0	25003	IDP T1 SIENAX CSF normalised volume	mm3	float	1.0	regional and tissue volume	Volume of ventricular cerebrospinal fluid (from T1 brain image, normalised for head size)	22138.0	22117.0	22126.0	11086.0	-	-	33224.0	33197.0	33209.0	0.288	0.0238
3	4.0	25004	IDP T1 SIENAX CSF unnormalised volume	mm3	float	1.0	regional and tissue volume	Volume of ventricular cerebrospinal fluid (from T1 brain image)	22138.0	22117.0	22126.0	11086.0	-	-	33224.0	33197.0	33209.0	0.288	0.0239
4	5.0	25005	IDP T1 SIENAX grey normalised volume	mm3	float	1.0	regional and tissue volume	Volume of grey matter (from T1 brain image, normalised for head size)	22138.0	22117.0	22126.0	11086.0	-	-	33224.0	33197.0	33209.0	0.2309	0.0219
5	6.0	25006	IDP T1 SIENAX grey unnormalised volume	mm3	float	1.0	regional and tissue volume	Volume of grey matter (from T1 brain image)	22138.0	22117.0	22126.0	11086.0	-	-	33224.0	33197.0	33209.0	0.2271	0.0214
6	7.0	25007	IDP T1 SIENAX white normalised volume	mm3	float	1.0	regional and tissue volume	Volume of white matter (from T1 brain image, normalised for head size)	22138.0	22117.0	22126.0	11086.0	-	-	33224.0	33197.0	33209.0	0.2905	0.0253
7	8.0	25008	IDP T1 SIENAX white unnormalised volume	mm3	float	1.0	regional and tissue volume	Volume of white matter (from T1 brain image)	22138.0	22117.0	22126.0	11086.0	-	-	33224.0	33197.0	33209.0	0.2887	0.0255
8	9.0	25009	IDP T1 SIENAX brain-normalised volume	mm3	float	1.0	regional and tissue volume	Volume of brain, grey+white, from T1 brain image, normalised for head size	22138.0	22117.0	22126.0	11086.0	-	-	33224.0	33197.0	33209.0	0.2506	0.0242
9	10.0	25010	IDP T1 SIENAX brain-unnormalised volume	mm3	float	1.0	regional and tissue volume	Volume of brain, grey+white, from T1 brain image	22138.0	22117.0	22126.0	11086.0	-	-	33224.0	33197.0	33209.0	0.2489	0.024
10	11.0	25011	IDP T1 FIRST left thalamus volume	mm3	float	1.0	regional and tissue volume	Volume of left thalamus (from T1 brain image)	22128.0	22107.0	22116.0	11083.0	-	-	33211.0	33184.0	33196.0	0.257	0.0238
11	12.0	25012	IDP T1 FIRST right thalamus volume	mm3	float	1.0	regional and tissue volume	Volume of right thalamus (from T1 brain image)	22128.0	22107.0	22116.0	11083.0	-	-	33211.0	33184.0	33196.0	0.2596	0.0233
12	13.0	25013	IDP T1 FIRST left caudate volume	mm3	float	1.0	regional and tissue volume	Volume of left caudate (from T1 brain image)	22128.0	22107.0	22116.0	11083.0	-	-	33211.0	33184.0	33196.0	0.3446	0.0256
13	14.0	25014	IDP T1 FIRST right caudate volume	mm3	float	1.0	regional and tissue volume	Volume of right caudate (from T1 brain image)	22128.0	22107.0	22116.0	11083.0	-	-	33211.0	33184.0	33196.0	0.3468	0.026
14	15.0	25015	IDP T1 FIRST left putamen volume	mm3	float	1.0	regional and tissue volume	Volume of left putamen (from T1 brain image)	22128.0	22107.0	22116.0	11083.0	-	-	33211.0	33184.0	33196.0	0.2526	0.0245
15	16.0	25016	IDP T1 FIRST right putamen volume	mm3	float	1.0	regional and tissue volume	Volume of right putamen (from T1 brain image)	22128.0	22107.0	22116.0	11083.0	-	-	33211.0	33184.0	33196.0	0.2883	0.026
16	17.0	25017	IDP T1 FIRST left pallidum volume	mm3	float	1.0	regional and tissue volume	Volume of left pallidum (from T1 brain image)	22128.0	22107.0	22116.0	11083.0	-	-	33211.0	33184.0	33196.0	0.2143	0.0218
17	18.0	25018	IDP T1 FIRST right pallidum volume	mm3	float	1.0	regional and tissue volume	Volume of right pallidum (from T1 brain image)	22128.0	22107.0	22116.0	11083.0	-	-	33211.0	33184.0	33196.0	0.2307	0.023
18	19.0	25019	IDP T1 FIRST left hippocampus volume	mm3	float	1.0	regional and tissue volume	Volume of left hippocampus (from T1 brain image)	22128.0	22107.0	22116.0	11083.0	-	-	33211.0	33184.0	33196.0	0.1706	0.0189
19	20.0	25020	IDP T1 FIRST right hippocampus volume	mm3	float	1.0	regional and tissue volume	Volume of right hippocampus (from T1 brain image)	22128.0	22107.0	22116.0	11083.0	-	-	33211.0	33184.0	33196.0	0.1672	0.0196
20	21.0	25021	IDP T1 FIRST left amygdala volume	mm3	float	1.0	regional and tissue volume	Volume of left amygdala (from T1 brain image)	22128.0	22107.0	22116.0	11083.0	-	-	33211.0	33184.0	33196.0	0.1086	0.0158
21	22.0	25022	IDP T1 FIRST right amygdala volume	mm3	float	1.0	regional and tissue volume	Volume of right amygdala (from T1 brain image)	22128.0	22107.0	22116.0	11083.0	-	-	33211.0	33184.0	33196.0	0.0961	0.017
22	23.0	25023	IDP T1 FIRST left accumbens volume	mm3	float	1.0	regional and tissue volume	Volume of left accumbens (from T1 brain image)	22128.0	22107.0	22116.0	11083.0	-	-	33211.0	33184.0	33196.0	0.1511	0.0163
23	24.0	25024	IDP T1 FIRST right accumbens volume	mm3	float	1.0	regional and tissue volume	Volume of right accumbens (from T1 brain image)	22128.0	22107.0	22116.0	11083.0	-	-	33211.0	33184.0	33196.0	0.1778	0.0185
24	25.0	25025	IDP T1 FIRST brain stem+4th ventricle volume	mm3	float	1.0	regional and tissue volume	Volume of brain stem + 4th ventricle (from T1 brain image)	22128.0	22107.0	22116.0	11083.0	11077	11080	33211.0	33184.0	33196.0	0.2769	0.025
25	26.0	25782	IDP T1 FAST ROIs L frontal pole	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Frontal Pole	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1525	0.0167
26	27.0	25783	IDP T1 FAST ROIs R frontal pole	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Frontal Pole	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.2076	0.0184
27	28.0	25784	IDP T1 FAST ROIs L insular cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Insular Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.2842	0.022
28	29.0	25785	IDP T1 FAST ROIs R insular cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Insular Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.2698	0.0218
29	30.0	25786	IDP T1 FAST ROIs L sup front gyrus	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Superior Frontal Gyrus	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1372	0.0175
